"CUST_ID","CUST_FIRSTNAME","CUST_LASTNAME","CUST_PHNO","CUST_ADDRESS","CUST_CARDNO","CUST_EMAIL","CUST_PASSWORD","AGE"
"43","Josephine","Darakjy","8102929388","4 B Blue Ridge Blvd","8103749840","josephine@gmail.com","josephine","30"
"41","uhvvv","bibd","6763","scbic","7897","fat@gmail.com","fat","19"
"42","James","Butt","50462189272","6649 N Blue Gum St","5048451427","jbutt@gmail.com","james","32"
"44","Thaddeus","Ankeny","9169203571","67 Rv Cent","4159266089","thaddeus@gmail.com","thaddeus","25"
"45","Flo","Biddy","3862484118","9 Hwy","3087262182","flo@gmai.com","biddy","29"
"46","Glory","Schieler","3258692649","5 E Truman Rd","5105093496","glory@gmail.com","schieler","18"
"47","Loren","paskin","8586177834","20113 4th Ave E","3078167115","loren@gmail.com","paskin","23"
"64","Gayla","Schnitzler","5106863407","38 Pleasant Hill Rd","2124225427","gayla@gmail.com","schnitzler","45"
"65","Ciara","Ventura","8458238877","53 W Carey St","5303993254","ciara@gmail.com","ventura","18"
"66","Cyril","Daufeldt","2127458484","3 Lawton St","7192232074","cyril@gmail.com","daufeldt","56"
"67","Galen","Cantres","2166006111","617 Nw 36th Ave","2168716876","galen@gmail.com","cantres","42"
"68","Erick","Nievas","7737049903","45 E Acacia Ct","7733596109","erick@gmail.com","nievas","20"
"69","Serina","Zagen","2602733725","7 S Beverly Dr","2039382557","serina@gmail.com","zagen","22"
"70","Roselle","Estell","4195715920","8116 Mount Vernon","5127421149","roselle@gmail.com","estell","31"
"50","Jess","Chaffins","3525988301","1953 Telegraph Rd","2124289538","jess@gmail.com","chaffins","60"
"48","Rasheeda","Sayaphon","6012349632","43496 Commercial","7606165388","rasheeda@gmail.com","sayaphon","24"
"49","Vi","Rentfro","7326054781","747 Leonis Blvd","5167493188","vi@gmail.com","rentfro","26"
"52","Cristal","Samara","8148658113","65 Mountain View","9736541561","cristal@gmail.com","samara","23"
"53","Kenneth","Grenet","8012939853","1482 College Ave","7327056719","kenneth@gmail.com","grenet","34"
"54","Elli","Mclaird","4073121691","1 N San Saba","9109223672","elli@gmail.com","mclaird","34"
"55","Merissa","Tomblin","5625796900","34 Raritan Center","3443438749","merissa@gmail.com","tomblin","20"
"56","Keneth","Borgman","6029194211","86350 Roszel Rd","6024423092","keneth@gmail.com","borgman","35"
"57","Selma","Husser","2019918369","9 State Highway","2017727699","selma@gmail.com","husser","33"
"59","Gail","Kitty","9074359166","910 Rahway Ave","9077703542","gali@gmail.com","kitty","44"
"60","Truman","Feichtner","9738522736","539 Coldwater Canyon","9734735108","turnman@gmail.com","feichtner","27"
"61","Lizbeth","Kohl","3106991222","35433 Blake St #588","5153721738","lizbeth@gmail.com","kohl","21"
"62","Lizbeth","Kohl","3106991222","35433 Blake St #588","5153721738","lizbeth@gmail.com","kohl","21"
"63","Paz","Sahagun","6019278287","89 20th St E #779","5862471614","paz@gmail.com","sahagun","23"
"91","Norah","Waymire","4153067897","6 Middlegate Rd #106","2155113531","norah@gmail.com","waymire","14"
"96","Glen","Bartolet","2144282285","99586 Main St","2145291949","glen@gmail.com","bartolet","32"
"21","Girish","Kumar","8182836728","gkcolony","67562537","girish@gmail.com","girish","35"
"141","deepak","mulapareddy","6142664849","maple ave","785674321","deepak@gmail.com","deepak","22"
"121","jeremiah","jacob","9642323023","Bevercreek","66775544","jeremiah@gmail.com","jacob","45"
"4","rajashekar","sugandam","9378180990","yellow springs","11223344","raj@gmail.com","rajashekar","31"
"51","Nickolas","Juvera","5168161541","50126 N Plankinton","8477405304","nickolas@gmail.com","juvera","32"
"58","Rikki","Nayar","3059689487","1644 Clove Rd","3059742069","rikki@gmail.com","nayar","29"
"81","Malinda","Hochard","3177225066","55 Riverside Ave","3072793793","malinda@gmail.com","hochard","25"
"82","Cory","Gibes","6265721096","83649 W Belmont Ave","6502165075","cory@gmail.com","gibes","34"
"83","Stephen","Emigh","3305375358","3777 E Richmond St","8479574614","stephen@gmail.com","emigh","41"
"84","Carma","Vanheusen","5105037169","68556 Central Hwy","5104524835","carma@gmail.com","vanheusen","35"
